cultivar,orchard_id,year,month,Pr[DCA>CA],Pr[DCA>RA],DCA-CA_mean,DCA-CA_p10,DCA-CA_median,DCA-CA_p90,DCA-RA_mean,DCA-RA_p10,DCA-RA_median,DCA-RA_p90,p_star,adoption_index,cvar10,omega,G_pos_mean,L_neg_mean
Honeycrisp,HC_O2,2024,October,0.027,0.0,-2215.219062371128,-3748.5304282504135,-2219.2508719919715,-682.3548245880287,-6515.164615499122,-7863.818480883119,-6515.297289696988,-5175.786293345643,0.8713114560013175,-0.8443114560013175,-4234.697061924701,0.004098428726838768,337.63999499045315,2286.0589334387155
Honeycrisp,HC_O2,2024,November,0.0271,0.0,-2195.554346101261,-3710.50045268489,-2198.3857232243754,-676.3867314500734,-6500.966182653862,-7804.7714999075515,-6492.341325908201,-5211.359904043423,0.8616856233718811,-0.8345856233718811,-4192.5319710797885,0.004471153336944316,363.86527904379955,2266.8466390824833
Honeycrisp,HC_O2,2024,December,0.1838,0.2305,-294712.42097352695,-717938.7049539885,-302341.1269688088,136363.72546824144,-222015.520606433,-612076.8369173271,-225620.2887557532,172096.63966535113,0.6705397121912151,-0.48673971219121515,-861326.4951462816,0.11064390278154448,199482.4679450398,406000.12078145705
Honeycrisp,HC_O2,2024,January,0.1865,0.2211,-298719.4606274947,-728543.5742245471,-309235.17266677925,140064.51781954756,-231461.4651726099,-624043.3090866263,-229435.0870903479,156941.88892522134,0.6729866707073044,-0.48648667070730445,-879310.5135303414,0.11139873814355492,200797.37272614366,413236.84159916476
Honeycrisp,HC_O2,2024,February,0.1897,0.2196,-303512.5000191931,-745818.7238969125,-313756.5240558438,154498.04270700022,-233929.35275372025,-630520.0679587207,-233608.77108607162,160824.22931771827,0.6674762751204395,-0.4777762751204395,-902035.4879230357,0.11662946811862247,211239.2605272169,424021.45839961263
Honeycrisp,HC_O2,2024,March,0.0004,0.0934,-1211870.4220808826,-1659273.436063868,-1232558.1405911404,-732672.4015315173,-820824.9245750657,-1586549.866020736,-848248.9701581046,-26196.603214702867,0.9726626238663869,-0.972262623866387,-1781958.1987670423,1.1246783741349526e-05,34074.49462767632,1212368.9994785252
Honeycrisp,HC_O2,2024,April,0.0003,0.0952,-1171550.4388419448,-1605832.888660104,-1192713.4428786403,-713197.5181474395,-791019.3155504736,-1521000.41976415,-817131.8060889274,-17899.00609169511,0.9882397051261145,-0.9879397051261145,-1725401.690414173,3.571144923667244e-06,13945.971144719204,1171906.1944916358
Honeycrisp,HC_O2,2024,May,0.0005,0.0992,-1221340.5885955675,-1678904.8577939442,-1237966.0230850556,-734322.4320734858,-815387.2984981015,-1582571.726931824,-847524.8999845316,-4003.3247699894296,0.9598162515494025,-0.9593162515494026,-1809903.5721199042,2.0943514089746548e-05,51159.39910885729,1221977.1568735589
Honeycrisp,HC_O2,2024,June,0.0339,1.0,-325650.5590939828,-579551.5130811871,-315126.70143379504,-80706.11959835031,1568780.709904707,1197712.001179103,1579071.2946786142,1925491.5413607566,0.8662634246024876,-0.8323634246024876,-689753.7764906449,0.005417237000492202,52322.56639617884,338913.4604024565
Honeycrisp,HC_O2,2024,July,0.0294,1.0,-341031.3605269749,-608406.4980401985,-327986.6181452859,-90767.34773299136,1623604.0291371818,1234717.4785700103,1633881.9482720746,1995711.2586534221,0.863711418031474,-0.834311418031474,-721978.6680238788,0.0047796693674512355,55709.030858864746,353048.84198869305
Honeycrisp,HC_O2,2024,August,0.0356,1.0,-314013.7225110361,-561080.0618388457,-302496.66986505047,-83079.2400950469,1510018.824673489,1150822.511126582,1521999.4861238329,1858595.346753031,0.8627216898896853,-0.8271216898896854,-670121.0912537654,0.005873865580824573,52117.208029587084,327529.1322240662
