flag,month,pooled_diff,avg_disaggregated_diff,difference_pooled_vs_disagg,max_orchard_diff,min_orchard_diff,orchard_details
pre_harvest_wet,April,0.00985999999999998,-0.10294999999999999,0.11280999999999997,0.10294999999999999,0.10294999999999999,"[('HC_O2', np.float64(-0.10294999999999999))]"
pre_harvest_wet,May,0.0025000000000000022,-0.11230000000000001,0.11480000000000001,0.11230000000000001,0.11230000000000001,"[('HC_O2', np.float64(-0.11230000000000001))]"
pre_harvest_wet,June,-0.54142,-0.38110000000000005,-0.16031999999999996,0.38110000000000005,0.38110000000000005,"[('HC_O2', np.float64(-0.38110000000000005))]"
pre_harvest_wet,July,-0.5433600000000001,-0.3854,-0.15796000000000004,0.3854,0.3854,"[('HC_O2', np.float64(-0.3854))]"
pre_harvest_wet,August,-0.54914,-0.3933,-0.15583999999999998,0.3933,0.3933,"[('HC_O2', np.float64(-0.3933))]"
pre_harvest_humid,September,0.0006000000000000033,0.0010499999999999989,-0.00044999999999999554,0.0010499999999999989,0.0010499999999999989,"[('HC_O2', np.float64(0.0010499999999999989))]"
pre_harvest_humid,October,-0.0008000000000000021,9.99999999999994e-05,-0.0009000000000000015,9.99999999999994e-05,9.99999999999994e-05,"[('HC_O2', np.float64(9.99999999999994e-05))]"
pre_harvest_humid,November,-0.002450000000000001,-0.0011000000000000003,-0.0013500000000000005,0.0011000000000000003,0.0011000000000000003,"[('HC_O2', np.float64(-0.0011000000000000003))]"
pre_harvest_humid,December,0.0033999999999999864,-0.047750000000000015,0.05115,0.047750000000000015,0.047750000000000015,"[('HC_O2', np.float64(-0.047750000000000015))]"
pre_harvest_humid,January,0.0022499999999999742,-0.043800000000000006,0.04604999999999998,0.043800000000000006,0.043800000000000006,"[('HC_O2', np.float64(-0.043800000000000006))]"
pre_harvest_humid,February,0.0044500000000000095,-0.043149999999999994,0.0476,0.043149999999999994,0.043149999999999994,"[('HC_O2', np.float64(-0.043149999999999994))]"
pre_harvest_humid,March,-0.08737499999999998,-0.40104999999999996,0.313675,0.40104999999999996,0.40104999999999996,"[('HC_O2', np.float64(-0.40104999999999996))]"
pre_harvest_humid,April,-0.08397500000000008,-0.3985,0.31452499999999994,0.3985,0.3985,"[('HC_O2', np.float64(-0.3985))]"
pre_harvest_humid,May,-0.084625,-0.4001,0.315475,0.4001,0.4001,"[('HC_O2', np.float64(-0.4001))]"
pre_harvest_humid,June,-0.66755,-0.7437499999999999,0.07619999999999993,0.7437499999999999,0.7437499999999999,"[('HC_O2', np.float64(-0.7437499999999999))]"
pre_harvest_humid,July,-0.66705,-0.7465,0.07945000000000002,0.7465,0.7465,"[('HC_O2', np.float64(-0.7465))]"
pre_harvest_humid,August,-0.6627249999999999,-0.7392,0.07647500000000007,0.7392,0.7392,"[('HC_O2', np.float64(-0.7392))]"
harvest_heat,September,0.0005250000000000012,0.0005250000000000012,0.0,0.0007500000000000007,0.00030000000000000165,"[('HC_O1', np.float64(0.00030000000000000165)), ('HC_O2', np.float64(0.0007500000000000007))]"
harvest_heat,October,-0.0005000000000000004,-0.0005000000000000004,0.0,0.0020999999999999977,0.0010999999999999968,"[('HC_O1', np.float64(-0.0020999999999999977)), ('HC_O2', np.float64(0.0010999999999999968))]"
harvest_heat,November,-0.0017000000000000036,-0.0017000000000000019,-1.734723475976807e-18,0.0020499999999999997,0.001350000000000004,"[('HC_O1', np.float64(-0.001350000000000004)), ('HC_O2', np.float64(-0.0020499999999999997))]"
harvest_heat,December,-0.21515000000000004,-0.21515,-2.7755575615628914e-17,0.6057,0.1754,"[('HC_O1', np.float64(-0.6057)), ('HC_O2', np.float64(0.1754))]"
harvest_heat,January,-0.2067,-0.2067,0.0,0.59505,0.18164999999999998,"[('HC_O1', np.float64(-0.59505)), ('HC_O2', np.float64(0.18164999999999998))]"
harvest_heat,February,-0.20705,-0.20705,0.0,0.60455,0.19044999999999998,"[('HC_O1', np.float64(-0.60455)), ('HC_O2', np.float64(0.19044999999999998))]"
harvest_heat,March,-0.48735000000000006,-0.48735,-5.551115123125783e-17,0.87205,0.10264999999999999,"[('HC_O1', np.float64(-0.87205)), ('HC_O2', np.float64(-0.10264999999999999))]"
harvest_heat,April,-0.486725,-0.486725,0.0,0.8705,0.10294999999999999,"[('HC_O1', np.float64(-0.8705)), ('HC_O2', np.float64(-0.10294999999999999))]"
harvest_heat,May,-0.49030000000000007,-0.49029999999999996,-1.1102230246251565e-16,0.8683,0.11230000000000001,"[('HC_O1', np.float64(-0.8683)), ('HC_O2', np.float64(-0.11230000000000001))]"
harvest_heat,June,-0.34385,-0.34385,0.0,0.38110000000000005,0.3066,"[('HC_O1', np.float64(-0.3066)), ('HC_O2', np.float64(-0.38110000000000005))]"
harvest_heat,July,-0.34424999999999994,-0.34425,5.551115123125783e-17,0.3854,0.3031,"[('HC_O1', np.float64(-0.3031)), ('HC_O2', np.float64(-0.3854))]"
harvest_heat,August,-0.352,-0.352,0.0,0.3933,0.3107,"[('HC_O1', np.float64(-0.3107)), ('HC_O2', np.float64(-0.3933))]"
harvest_cold,September,0.0007666666666666655,0.0008999999999999998,-0.00013333333333333426,0.0015000000000000013,0.0002999999999999982,"[('HC_O1', np.float64(0.0015000000000000013)), ('HC_O2', np.float64(0.0002999999999999982))]"
harvest_cold,October,0.00020000000000000226,-0.0001999999999999988,0.00040000000000000105,0.0010000000000000009,0.0006000000000000033,"[('HC_O1', np.float64(0.0006000000000000033)), ('HC_O2', np.float64(-0.0010000000000000009))]"
harvest_cold,November,0.0009333333333333381,0.00010000000000000113,0.000833333333333337,0.0009500000000000029,0.0007500000000000007,"[('HC_O1', np.float64(-0.0007500000000000007)), ('HC_O2', np.float64(0.0009500000000000029))]"
harvest_cold,December,-0.2566333333333334,-0.27507500000000007,0.01844166666666669,0.32700000000000007,0.22315000000000002,"[('HC_O1', np.float64(-0.32700000000000007)), ('HC_O2', np.float64(-0.22315000000000002))]"
harvest_cold,January,-0.2522666666666666,-0.271725,0.01945833333333341,0.318,0.22544999999999998,"[('HC_O1', np.float64(-0.318)), ('HC_O2', np.float64(-0.22544999999999998))]"
harvest_cold,February,-0.26130000000000003,-0.28095000000000003,0.01965,0.32830000000000004,0.23359999999999997,"[('HC_O1', np.float64(-0.32830000000000004)), ('HC_O2', np.float64(-0.23359999999999997))]"
harvest_cold,March,-0.30113333333333336,-0.2822,-0.018933333333333358,0.2984,0.266,"[('HC_O1', np.float64(-0.266)), ('HC_O2', np.float64(-0.2984))]"
harvest_cold,April,-0.29936666666666667,-0.27915,-0.02021666666666666,0.29555,0.26275,"[('HC_O1', np.float64(-0.26275)), ('HC_O2', np.float64(-0.29555))]"
harvest_cold,May,-0.2949666666666667,-0.274125,-0.020841666666666703,0.2878,0.26045,"[('HC_O1', np.float64(-0.26045)), ('HC_O2', np.float64(-0.2878))]"
harvest_cold,June,-0.09423333333333328,-0.25384999999999996,0.15961666666666668,0.3626499999999999,0.14504999999999998,"[('HC_O1', np.float64(-0.14504999999999998)), ('HC_O2', np.float64(-0.3626499999999999))]"
harvest_cold,July,-0.09266666666666667,-0.25115,0.1584833333333333,0.36110000000000003,0.1412,"[('HC_O1', np.float64(-0.1412)), ('HC_O2', np.float64(-0.36110000000000003))]"
harvest_cold,August,-0.08750000000000008,-0.24500000000000002,0.15749999999999995,0.34590000000000004,0.1441,"[('HC_O1', np.float64(-0.1441)), ('HC_O2', np.float64(-0.34590000000000004))]"
harvest_dry,September,-0.0002333333333333354,-0.0002249999999999995,-8.333333333335885e-06,0.0011999999999999997,0.0007500000000000007,"[('HC_O1', np.float64(-0.0011999999999999997)), ('HC_O2', np.float64(0.0007500000000000007))]"
harvest_dry,October,-0.0003333333333333348,-0.0008000000000000021,0.0004666666666666673,0.002700000000000001,0.0010999999999999968,"[('HC_O1', np.float64(-0.002700000000000001)), ('HC_O2', np.float64(0.0010999999999999968))]"
harvest_dry,November,-0.00033333333333333826,-0.0013250000000000015,0.0009916666666666633,0.0020499999999999997,0.0006000000000000033,"[('HC_O1', np.float64(-0.0006000000000000033)), ('HC_O2', np.float64(-0.0020499999999999997))]"
harvest_dry,December,-0.05803333333333338,-0.05165000000000003,-0.006383333333333352,0.27870000000000006,0.1754,"[('HC_O1', np.float64(-0.27870000000000006)), ('HC_O2', np.float64(0.1754))]"
harvest_dry,January,-0.05313333333333334,-0.04770000000000002,-0.005433333333333318,0.27705,0.18164999999999998,"[('HC_O1', np.float64(-0.27705)), ('HC_O2', np.float64(0.18164999999999998))]"
harvest_dry,February,-0.049699999999999994,-0.04290000000000001,-0.006799999999999987,0.27625,0.19044999999999998,"[('HC_O1', np.float64(-0.27625)), ('HC_O2', np.float64(0.19044999999999998))]"
harvest_dry,March,-0.36526666666666674,-0.35435000000000005,-0.010916666666666686,0.6060500000000001,0.10264999999999999,"[('HC_O1', np.float64(-0.6060500000000001)), ('HC_O2', np.float64(-0.10264999999999999))]"
harvest_dry,April,-0.3671,-0.35535,-0.011749999999999983,0.60775,0.10294999999999999,"[('HC_O1', np.float64(-0.60775)), ('HC_O2', np.float64(-0.10294999999999999))]"
harvest_dry,May,-0.37136666666666673,-0.36007500000000003,-0.0112916666666667,0.60785,0.11230000000000001,"[('HC_O1', np.float64(-0.60785)), ('HC_O2', np.float64(-0.11230000000000001))]"
harvest_dry,June,-0.10976666666666668,-0.27132500000000004,0.16155833333333336,0.38110000000000005,0.16155,"[('HC_O1', np.float64(-0.16155)), ('HC_O2', np.float64(-0.38110000000000005))]"
harvest_dry,July,-0.11266666666666669,-0.27365,0.1609833333333333,0.3854,0.1619,"[('HC_O1', np.float64(-0.1619)), ('HC_O2', np.float64(-0.3854))]"
harvest_dry,August,-0.11856666666666671,-0.27995,0.16138333333333327,0.3933,0.1666,"[('HC_O1', np.float64(-0.1666)), ('HC_O2', np.float64(-0.3933))]"
post_harvest_heat,September,-0.0007500000000000007,-0.0007499999999999989,-1.734723475976807e-18,0.0011999999999999997,0.0002999999999999982,"[('HC_O1', np.float64(-0.0011999999999999997)), ('HC_O2', np.float64(-0.0002999999999999982))]"
post_harvest_heat,October,-0.0008500000000000001,-0.0008500000000000001,0.0,0.002700000000000001,0.0010000000000000009,"[('HC_O1', np.float64(-0.002700000000000001)), ('HC_O2', np.float64(0.0010000000000000009))]"
post_harvest_heat,November,-0.0007750000000000049,-0.0007750000000000031,-1.734723475976807e-18,0.0009500000000000029,0.0006000000000000033,"[('HC_O1', np.float64(-0.0006000000000000033)), ('HC_O2', np.float64(-0.0009500000000000029))]"
post_harvest_heat,December,-0.027775000000000022,-0.027775000000000022,0.0,0.27870000000000006,0.22315000000000002,"[('HC_O1', np.float64(-0.27870000000000006)), ('HC_O2', np.float64(0.22315000000000002))]"
post_harvest_heat,January,-0.02579999999999999,-0.025800000000000017,2.7755575615628914e-17,0.27705,0.22544999999999998,"[('HC_O1', np.float64(-0.27705)), ('HC_O2', np.float64(0.22544999999999998))]"
post_harvest_heat,February,-0.02132500000000001,-0.02132500000000001,0.0,0.27625,0.23359999999999997,"[('HC_O1', np.float64(-0.27625)), ('HC_O2', np.float64(0.23359999999999997))]"
