cultivar,orchard_id,year,technology,interval_months,n_reps,sample_mean,sample_sd,alpha_mom,beta_mom,ll_mom,aic_mom,ks_p_mom,alpha_mle,beta_mle,ll_mle,aic_mle,ks_p_mle,chosen_method,alpha,beta,ks_p_chosen
Honeycrisp,HC_O2,2023,DCA,6,6,0.9027776111111111,0.06273074442777604,19.23293320901378,2.07124289404938,-1.222641653530026,6.445283307060052,0.6449080250120633,3.77280110138189,0.362244725846514,11.472416705835016,-18.944833411670032,0.16487745113402463,MLE,3.77280110138189,0.362244725846514,0.12
Honeycrisp,HC_O2,2023,DCA,9,6,0.9351850185185183,0.048643902169477116,23.02078000548859,1.595503991401313,5.604097352272124,-7.208194704544248,0.8839186031254185,5.683209536266778,0.366622796604025,13.714137764346725,-23.42827552869345,0.2926761052148026,MLE,5.683209536266778,0.366622796604025,0.24
Honeycrisp,HC_O2,2023,RA,3,6,0.9555555555555556,0.022771001702132483,77.30899470899433,3.5957671957671744,15.098388956890489,-26.196777913780977,0.9478834646482678,92.67294624839003,4.310210903093621,15.148593338300742,-26.297186676601484,0.9738885890589274,MLE,92.67294624839003,4.310210903093621,0.99
Honeycrisp,HC_O2,2023,RA,6,6,0.9277777777777777,0.04172218523448576,34.785086682427135,2.707821118991337,11.033611312095175,-18.06722262419035,0.9495961542544618,32.17056987578808,2.4942594562140585,11.04539087779969,-18.09078175559938,0.9455136371590366,MLE,32.17056987578808,2.4942594562140585,0.93
Honeycrisp,HC_O2,2023,RA,9,6,0.9629627962962962,0.02868850733031548,40.766356718002775,1.5679441239367944,9.545449113019835,-15.09089822603967,0.5626108122197708,10.47845184135255,0.387975971500479,16.589869983336023,-29.179739966672045,0.09062158258929642,MLE,10.47845184135255,0.387975971500479,0.09
Honeycrisp,HC_O2,2024,CA,3,6,0.7972222222222222,0.09855436551955953,15.944444444444443,4.055555555555557,6.058074797477197,-8.116149594954393,0.8623958964723996,14.349264965326343,3.636142192152552,6.078192741024708,-8.156385482049416,0.9118934637192986,MLE,14.349264965326343,3.636142192152552,0.92
Honeycrisp,HC_O2,2024,CA,6,6,0.7722222222222221,0.01721325931647741,231.66666666666663,68.33333333333336,15.580847590733015,-27.16169518146603,0.4131032005405558,562.0801390892092,165.79804349674157,16.479097187015668,-28.958194374031336,0.16546255146127198,MLE,562.0801390892092,165.79804349674157,0.19
Honeycrisp,HC_O2,2024,CA,9,6,0.8833333333333334,0.014907119849998594,265.0,34.99999999999998,16.810559715197655,-29.62111943039531,0.959743187021094,488.39459568233644,64.50448900048794,17.27554943700852,-30.551098874017043,0.8587182175320492,MLE,488.39459568233644,64.50448900048794,0.87
Honeycrisp,HC_O2,2024,DCA,3,6,0.6875,0.09270248108869579,16.499999999999996,7.499999999999999,6.254454060434327,-8.508908120868654,0.9549594984958822,19.506785524725892,8.848544834142055,6.295428175923902,-8.590856351847805,0.9423222334370395,MLE,19.506785524725892,8.848544834142055,0.97
Honeycrisp,HC_O2,2024,DCA,6,6,0.3489583333333333,0.14033534984695292,6.979166666666666,13.020833333333336,3.9351489810963898,-3.8702979621927796,0.8431560698728862,4.934959188875429,9.158227896876364,4.155452190680627,-4.310904381361254,0.952369485646581,MLE,4.934959188875429,9.158227896876364,0.96
Honeycrisp,HC_O2,2024,DCA,9,6,0.7708333333333334,0.07306532465312576,24.73560298102981,7.35382791327913,7.831012875532608,-11.662025751065215,0.9303510523460329,30.6122850086776,9.101819065104095,7.8972859242353195,-11.794571848470639,0.8684828891441295,MLE,30.6122850086776,9.101819065104095,0.87
Honeycrisp,HC_O2,2024,RA,3,6,0.7694444444444444,0.08260795406057503,19.233153047891854,5.763002537815973,7.07756561439129,-10.15513122878258,0.9672640009620104,23.38304620130818,7.002913176478002,7.1339615951203825,-10.267923190240765,0.9281171447157985,MLE,23.38304620130818,7.002913176478002,0.96
Honeycrisp,HC_O2,2024,RA,6,6,0.6333333333333333,0.1955050439815358,12.666666666666666,7.333333333333334,-0.30726465002312864,4.614529300046257,0.4880224763509676,4.474219555661147,2.5979004848543945,2.324647476007751,-0.6492949520155022,0.839556815938906,MLE,4.474219555661147,2.5979004848543945,0.83
Honeycrisp,HC_O2,2024,RA,9,6,0.22777777777777777,0.07353507603455238,7.181500507356682,24.347038305428754,7.493450409174059,-10.986900818348118,0.26501252925532337,7.792179503227753,26.49710367036763,7.503950628727296,-11.007901257454591,0.24220752942741341,MLE,7.792179503227753,26.49710367036763,0.26
